OpenRouter,google,Google Gemini 2.0 Flash Experimental,google/gemini-2.0-flash-exp:free,1048576,very large context (AI Studio),yes,heavy,,,,,"vision,audio"
OpenRouter,meta-llama,Meta Llama 3.3 70B,meta-llama/llama-3.3-70b-instruct:free,65536,large Llama variant,yes,lite,,,,,
OpenRouter,mistralai,Mistral 7B,mistralai/mistral-7b-instruct:free,32768,small but capable,yes,lite,,,,,
OpenRouter,moonshotai,MoonshotAI Kimi K2,moonshotai/kimi-k2:free,128000,small specialized,no,heavy,,,,,
OpenRouter,qwen,Qwen2.5 VL 32B,qwen/qwen2.5-vl-32b-instruct:free,16384,multimodal-capable,no,lite,,,,,vision
OpenRouter,mistralai,Mistral Nemo,mistralai/mistral-nemo:free,131072,,no,lite,,,,,
OpenRouter,google,Google Gemma 3 4B,google/gemma-3-4b-it:free,32768,,no,lite,,,,,
OpenRouter,google,Google Gemma 3 12B,google/gemma-3-12b-it:free,32768,,no,lite,,,,,
OpenRouter,google,Google Gemma 3 27B,google/gemma-3-27b-it:0,32768,,yes,lite,,,,,
OpenRouter,nousresearch,Nous DeepHermes 3,nousresearch/deephermes-3-llama-3-8b-preview:free,131072,preview model,no,lite,,,,,
OpenRouter,dolphin,Dolphin3.0 Mistral,dolphin3.0-mistral-24b,32768,community variant,no,lite,,,,,
OpenRouter,qwen,Qwen2.5 72B,qwen/qwen-2.5-72b-instruct:free,32768,,no,heavy,,,,,
OpenRouter,meta-llama,Meta Llama 3.2 3B,meta-llama/llama-3.2-3b-instruct:free,131072,small Llama,no,lite,,,,,
OpenRouter,qwen,Qwen2.5 Coder 32B,qwen/qwen-2.5-coder-32b-instruct:free,32768,coder-specialized,no,lite,,,,,coding
OpenRouter,moonshotai,MoonshotAI Kimi Dev 72B,moonshotai/kimi-dev-72b:free,131072,large experimental,no,heavy,,,,,
OpenRouter,deepseek,DeepSeek R1,deepseek/deepseek-r1:free,163840,large-context retrieval,no,heavy,,,,,retrieval
OpenRouter,meta-llama,Meta Llama 3.3 70B Instruct,meta-llama/llama-3.3-70b-instruct:free,65536,,no,lite,,,,,
OpenRouter,qwen,Qwen3 8B,qwen/qwen3-8b:free,40960,,no,lite,,,,,
OpenRouter,deepseek,Deepseek R1 Distill Llama 70B,deepseek/deepseek-r1-distill-llama-70b:free,8192,distilled small-context,no,lite,,,,,
OpenRouter,qwen,Qwen3 30B,qwen/qwen3-30b-a3b:free,40960,,no,lite,,,,,
OpenRouter,tngtech,TNG DeepSeek R1T Chimera,tngtech/deepseek-r1t-chimera:free,163840,,no,heavy,,,,,
OpenRouter,microsoft,Microsoft MAI DS R1,microsoft/mai-ds-r1:free,163840,,no,heavy,,,,,
OpenRouter,shisa-ai,Shisa V2 Llama3.3 70B,shisa-ai/shisa-v2-llama3.3-70b:free,32768,,no,lite,,,,,
OpenRouter,arliai,ArliAI QwQ 32B,arliai/qwq-32b-arliai-rpr-v1:free,32768,,no,lite,,,,,
OpenRouter,agentica-org,Agentica Deepcoder 14B,agentica-org/deepcoder-14b-preview:free,96000,,no,lite,,,,,coding
google_aistudio,google,Gemini 2.5 Pro,google/gemini-2.5-pro:0,1048576,"Multi-Modal, JSON Mode, Tool Calling",yes,heavy,5,100,250000,,"vision,audio,json_mode"
google_aistudio,google,Gemini 2.5 Flash,google/gemini-2.5-flash:0,1048576,,yes,heavy,60,1500,1000000,,"vision,audio"
google_aistudio,google,Gemini 2.0 Flash Live,google/gemini-2.0-flash-live:0,1048576,,yes,heavy,60,1500,1000000,,"vision,audio"
google_aistudio,google,Gemma 3n 2B,google/gemma-3n-e2b-it:0,32768,,yes,lite,,,,,
google_aistudio,google,Gemma 3 4B,google/gemma-3-4b-it:0,32768,,yes,lite,,,,,
google_aistudio,google,Gemma 3 12B,google/gemma-3-12b-it:0,32768,,yes,lite,,,,,
google_aistudio,google,Gemma 3 27B,google/gemma-3-27b-it:0,32768,,yes,lite,,,,,
together,servicenow,Apriel-1.5-15b-Thinker,ServiceNow-AI/Apriel-1.5-15b-Thinker,131072,,yes,lite,,,,,
together,deepseek,DeepSeek-R1-Distill-Llama-70B-free,deepseek-ai/DeepSeek-R1-Distill-Llama-70B-free,131000,,yes,lite,,,,,
together,meta,Llama-3-70b-chat-hf,meta-llama/Llama-3-70b-chat-hf,128000,,yes,lite,,,,,
groq,meta-llama,llama-3.1-8b-instant,llama-3.1-8b-instant,128000,,yes,lite,30,14.4K,6K,500K,
groq,meta-llama,llama-3.3-70b-versatile,llama-3.3-70b-versatile,128000,,yes,lite,30,1K,12K,100K,
groq,meta-llama,llama-4-maverick-17b-128e-instruct,meta-llama/llama-4-maverick-17b-128e-instruct,131072,,yes,lite,30,1K,6K,500K,vision
groq,meta-llama,llama-4-scout-17b-16e-instruct,meta-llama/llama-4-scout-17b-16e-instruct,131072,,yes,lite,30,1K,30K,500K,vision
groq,meta-llama,llama-guard-4-12b,meta-llama/llama-guard-4-12b,131072,,yes,lite,30,14.4K,15K,500K,safety
groq,meta-llama,llama-prompt-guard-2-22m,meta-llama/llama-prompt-guard-2-22m,512,,no,lite,30,14.4K,15K,500K,safety
groq,meta-llama,llama-prompt-guard-2-86m,meta-llama/llama-prompt-guard-2-86m,512,,no,lite,30,14.4K,15K,500K,safety
groq,moonshotai,kimi-k2-instruct,moonshotai/kimi-k2-instruct,128000,,yes,heavy,60,1K,10K,300K,
groq,moonshotai,kimi-k2-instruct-0905,moonshotai/kimi-k2-instruct-0905,256000,,yes,heavy,60,1K,10K,300K,
groq,openai,gpt-oss-120b,openai/gpt-oss-120b,131072,,yes,heavy,30,1K,8K,200K,
groq,openai,gpt-oss-20b,openai/gpt-oss-20b,131072,,yes,lite,30,1K,8K,200K,
groq,playai,playai-tts,playai-tts,300,,,lite,10,100,1.2K,3.6K,tts
groq,playai,playai-tts-arabic,playai-tts-arabic,300,,,lite,10,100,1.2K,3.6K,tts
groq,qwen,qwen3-32b,qwen/qwen3-32b,131072,,,lite,60,1K,6K,500K,
groq,openai,whisper-large-v3,whisper-large-v3,,,,lite,20,2K,,,speech_recognition
groq,openai,whisper-large-v3-turbo,whisper-large-v3-turbo,,,,lite,20,2K,,,speech_recognition
